iter	Logloss
0	0.6451931304
1	0.6047117208
2	0.5621933052
3	0.5244297283
4	0.4909541229
5	0.4649747956
6	0.4412446656
7	0.4203924531
8	0.4017097489
9	0.3836757898
10	0.3693528409
11	0.3591549189
12	0.3493192267
13	0.3376607487
14	0.3280317307
15	0.3178600209
16	0.3071971837
17	0.2994588323
18	0.2922517186
19	0.2855496824
20	0.280028755
21	0.2754591772
22	0.2711600116
23	0.266896823
24	0.2642981689
25	0.2614756203
26	0.2594131708
27	0.2571186666
28	0.2544907445
29	0.2523916545
30	0.249897465
31	0.2476848678
32	0.2449504168
33	0.2432340794
34	0.242154874
35	0.2405878511
36	0.2393659377
37	0.238081297
38	0.2363503407
39	0.2346055934
40	0.2331798741
41	0.2315303694
42	0.2313260284
43	0.2297939999
44	0.2285639401
45	0.2269075287
46	0.2260297224
47	0.2246458767
48	0.2237954821
49	0.223020041
50	0.2222246534
51	0.2214450472
52	0.2202575416
53	0.2196686364
54	0.2190534179
55	0.2180045305
56	0.2171320752
57	0.2170683605
58	0.2165884036
59	0.2158967607
60	0.2155139011
61	0.2149621854
62	0.2147286616
63	0.2140034927
64	0.2136748485
65	0.2131256977
66	0.2127921856
67	0.212366343
68	0.2120697244
69	0.2118716907
70	0.2112458228
71	0.21087864
72	0.2102226486
73	0.2097096929
74	0.2093932647
75	0.2087499111
76	0.2086258055
77	0.2083343124
78	0.2081255882
79	0.2078860516
80	0.2078207051
81	0.2077744591
82	0.2076949492
83	0.2074615249
84	0.2072452953
85	0.2068836081
86	0.2065717904
87	0.206458932
88	0.206142644
89	0.2059239321
90	0.2057372549
91	0.2054582635
92	0.2053006959
93	0.2051076634
94	0.2048483532
95	0.2045242
96	0.2043921657
97	0.2043690252
98	0.2043587718
99	0.2042327287
100	0.2038743707
101	0.2034884012
102	0.2032631387
103	0.2030263547
104	0.2026946316
105	0.202676114
106	0.202570096
107	0.202295165
108	0.2020365713
109	0.2018251895
110	0.2016516011
111	0.2014307622
112	0.2012574513
113	0.2010656233
114	0.2009533224
115	0.2008095889
116	0.2005521408
117	0.2000761907
118	0.1998493039
119	0.1994331856
120	0.1992191322
121	0.1989677764
122	0.1986805532
123	0.1985610445
124	0.1982705086
125	0.1980149672
126	0.1977823988
127	0.1975811773
128	0.1972549032
129	0.1971723995
130	0.19708148
131	0.1967851916
132	0.1964982784
133	0.1963690367
134	0.19626729
135	0.1961480176
136	0.1960585076
137	0.1958822842
138	0.1956851199
139	0.1952894008
140	0.1951123389
141	0.194952955
142	0.1948565394
143	0.1947900016
144	0.1945570918
145	0.1943838317
146	0.1942604131
147	0.1940551747
148	0.1939794956
149	0.1938796463
150	0.1938793909
151	0.1934808396
152	0.1932296293
153	0.1931529167
154	0.1930027858
155	0.1929743485
156	0.1928993066
157	0.1927524745
158	0.1927051264
159	0.1926131753
160	0.1924597081
161	0.1922349194
162	0.1920321361
163	0.1919403817
164	0.1917790339
165	0.1917245131
166	0.1914702005
167	0.191179345
168	0.1909178355
169	0.190851646
170	0.1906357798
171	0.1904923446
172	0.1904123957
173	0.1902793068
174	0.1902195828
175	0.1901513206
176	0.1901125375
177	0.1900281883
178	0.1899602051
179	0.1896704269
180	0.1895520818
181	0.1894620913
182	0.1893211093
183	0.1891806633
184	0.1890658339
185	0.1889864083
186	0.188741999
187	0.1885274138
188	0.1881532147
189	0.1879036809
190	0.1878526297
191	0.1875853252
192	0.187442859
193	0.1872783303
194	0.1871810887
195	0.1870870485
196	0.1869437337
197	0.1868122277
198	0.1865359392
199	0.1863861918
200	0.1863232901
201	0.1861290699
202	0.1859859622
203	0.1858257327
204	0.1855756814
205	0.1854564918
206	0.1854110495
207	0.1851033114
208	0.1847883747
209	0.1846106676
210	0.1844511045
211	0.184209023
212	0.1839561226
213	0.1837970265
214	0.183628526
215	0.1833989486
216	0.1830991064
217	0.1829930527
218	0.1826962337
219	0.1824780057
220	0.1823822029
221	0.1822557861
222	0.1821462561
223	0.182118337
224	0.1819180059
225	0.1816585405
226	0.1816576098
227	0.181476097
228	0.1812455075
229	0.1810038561
230	0.1808997313
231	0.1806983627
232	0.18047714
233	0.1801557534
234	0.1800234857
235	0.1798688724
236	0.1795944095
237	0.1794271138
238	0.1792384208
239	0.1790225431
240	0.178929646
241	0.1788431428
242	0.1787881783
243	0.1783722961
244	0.1781109524
245	0.1778276794
246	0.1775832395
247	0.1774085963
248	0.1772417502
249	0.1769682189
250	0.1768282594
251	0.1767042173
252	0.1764567179
253	0.1763319149
254	0.1761886234
255	0.1757606645
256	0.175604981
257	0.1754003093
258	0.1752886089
259	0.1751577602
260	0.1750648702
261	0.1748321535
262	0.1745568346
263	0.174428362
264	0.174217907
265	0.1740229133
266	0.1738615214
267	0.1737626603
268	0.1736727582
269	0.1736020393
270	0.1732752118
271	0.1731833082
272	0.172876671
273	0.1727884082
274	0.1725568117
275	0.1723350208
276	0.1722329319
277	0.1719918669
278	0.1718057275
279	0.1716866232
280	0.1713704589
281	0.1712403055
282	0.1710790834
283	0.1707755765
284	0.1705345816
285	0.1701940951
286	0.1700805298
287	0.169850777
288	0.1696962546
289	0.1695409304
290	0.1695069419
291	0.1692913781
292	0.16911591
293	0.1689718371
294	0.168919092
295	0.1687637215
296	0.1685996046
297	0.1685318273
298	0.1683992025
299	0.1682421762
300	0.1681216581
301	0.168089917
302	0.1679399616
303	0.1677242828
304	0.1676782875
305	0.1674500532
306	0.1672978512
307	0.1671239214
308	0.1669959123
309	0.1669700897
310	0.1666933828
311	0.1666507098
312	0.1666368976
313	0.1665260882
314	0.1664190743
315	0.1661271314
316	0.165989155
317	0.1658235346
318	0.1657298153
319	0.1655307933
320	0.1654419541
321	0.1652900333
322	0.1649908434
323	0.1647463852
324	0.1645900741
325	0.1644293516
326	0.1642471961
327	0.1641827047
328	0.1640891532
329	0.1640480957
330	0.1638872979
331	0.1637311597
332	0.1635931472
333	0.1633622063
334	0.1632280788
335	0.1630826262
336	0.1629801015
337	0.1628891456
338	0.1627932941
339	0.1627242041
340	0.1625797966
341	0.162522045
342	0.1624091208
343	0.162131339
344	0.1619677145
345	0.1618218766
346	0.1616952856
347	0.1615515668
348	0.1614590099
349	0.1613058707
350	0.1612585735
351	0.1611850635
352	0.161037764
353	0.1609212966
354	0.1607948995
355	0.1607072094
356	0.1606059052
357	0.1604935906
358	0.1603607073
359	0.1602676735
360	0.1601953095
361	0.1600482044
362	0.1598848065
363	0.1597301659
364	0.1595436701
365	0.1594783148
366	0.1592424307
367	0.1590497124
368	0.1588966655
369	0.1586878147
370	0.1586443557
371	0.1585032092
372	0.1583847193
373	0.1582633588
374	0.1581537382
375	0.1580400731
376	0.1580357471
377	0.1579188012
378	0.1577981367
379	0.1577121736
380	0.1576085112
381	0.1575338195
382	0.1572867434
383	0.1571594494
384	0.156976602
385	0.156795989
386	0.1566220585
387	0.1565490223
388	0.1564520456
389	0.1563044486
390	0.1562194685
391	0.1561058103
392	0.1559382098
393	0.1558076984
394	0.1556985953
395	0.1556750211
396	0.1555236915
397	0.1554025475
398	0.1552225333
399	0.1551319384
400	0.155007325
401	0.1548453954
402	0.1546753124
403	0.1545602765
404	0.1544042917
405	0.1542272317
406	0.1541269294
407	0.1539954148
408	0.1538182984
409	0.1536050978
410	0.1534910228
411	0.1533332319
412	0.1531790648
413	0.153111701
414	0.1530081455
415	0.1529916628
416	0.1529139168
417	0.1528724822
418	0.1527944163
419	0.1527083542
420	0.1525920609
421	0.1524735546
422	0.1523480295
423	0.1522047387
424	0.1519952066
425	0.1518931034
426	0.1518275665
427	0.1516474608
428	0.151540152
429	0.1513446646
430	0.1512783488
431	0.1511628403
432	0.1510712985
433	0.1508977426
434	0.1508104054
435	0.1506493934
436	0.1504923382
437	0.1503861577
438	0.1503443497
439	0.150285332
440	0.1502405138
441	0.1501593839
442	0.1500074138
443	0.1499164949
444	0.1497854769
445	0.1497066735
446	0.1496963775
447	0.1496466865
448	0.1493978709
449	0.1492973747
450	0.1491885609
451	0.1489945958
452	0.1489216159
453	0.148756149
454	0.1485711942
455	0.1484644949
456	0.1483647919
457	0.1482444204
458	0.1481491896
459	0.1479875367
460	0.1478475587
461	0.1477060898
462	0.1475769902
463	0.1474735297
464	0.1473386687
465	0.1472545738
466	0.1471903632
467	0.1470881733
468	0.1470158646
469	0.1468650048
470	0.1467308856
471	0.1466693429
472	0.1465776708
473	0.1465112006
474	0.1464413322
475	0.1463641935
476	0.1462998849
477	0.1462136479
478	0.1461208653
479	0.1460277758
480	0.145920371
481	0.1458091195
482	0.1457057897
483	0.1456009562
484	0.1455169044
485	0.1454258156
486	0.1453175319
487	0.1451393057
488	0.1449799238
489	0.14481323
490	0.144731441
491	0.1446751608
492	0.1445951335
493	0.1444489472
494	0.1443778142
495	0.1442366303
496	0.1441375416
497	0.1439712819
498	0.1438551887
499	0.1437703064
500	0.1437585916
501	0.1436591799
502	0.1435553983
503	0.143333384
504	0.1431366659
505	0.1429524162
506	0.1429419695
507	0.1428852836
508	0.1428309641
509	0.1426950401
510	0.1426164781
511	0.1425148291
512	0.1424326593
513	0.1423134685
514	0.1421551405
515	0.1420562576
516	0.1419557512
517	0.1418601759
518	0.1418297577
519	0.1417549265
520	0.141641562
521	0.1416260473
522	0.141518006
523	0.1414059621
524	0.1413076987
525	0.1411847553
526	0.1410712408
527	0.1409662003
528	0.1408648933
529	0.1407913647
530	0.1407140132
531	0.1406366978
532	0.1405238441
533	0.1404798895
534	0.140341228
535	0.1403323638
536	0.1403118132
537	0.1402455738
538	0.1400948664
539	0.1399886103
540	0.139904838
541	0.1397720152
542	0.1396894387
543	0.1395780614
544	0.1395372655
545	0.1394049066
546	0.1391876685
547	0.1391399598
548	0.1390734354
549	0.1390086066
550	0.1388805419
551	0.1388210673
552	0.138741397
553	0.1386702465
554	0.1386611228
555	0.1385257714
556	0.1384332123
557	0.1382773956
558	0.1381704554
559	0.138091505
560	0.1379753077
561	0.1379190571
562	0.1378435879
563	0.1377430496
564	0.1376193562
565	0.1374815263
566	0.1373449759
567	0.1373105444
568	0.1371405812
569	0.1370488163
570	0.1369436465
571	0.1368839345
572	0.1368139962
573	0.1367788291
574	0.1367252431
575	0.1366657391
576	0.136493554
577	0.1364213805
578	0.1363488869
579	0.1362137766
580	0.1361520871
581	0.1361151474
582	0.1360623294
583	0.1358735127
584	0.135807642
