iter	Passed	Remaining
399	36225	18112
400	36329	18028
401	36423	17939
402	36515	17849
403	36606	17759
404	36694	17667
405	36784	17576
406	36880	17488
407	36972	17399
408	37064	17308
409	37157	17219
410	37258	17133
411	37352	17044
412	37442	16953
413	37540	16865
414	37634	16776
415	37724	16685
416	37817	16596
417	37910	16506
418	38002	16416
419	38090	16324
420	38181	16234
421	38277	16145
422	38404	16070
423	38497	15980
424	38595	15892
425	38690	15803
426	38780	15711
427	38872	15621
428	38968	15532
429	39067	15445
430	39186	15365
431	39292	15280
432	39407	15198
433	39514	15113
434	40374	15314
435	40590	15267
436	40829	15229
437	41048	15182
438	41260	15132
439	41487	15086
440	41697	15033
441	41913	14982
442	42128	14930
443	42340	14876
444	42554	14822
445	42755	14763
446	42947	14700
447	43146	14638
448	43352	14579
449	43562	14520
450	43757	14456
451	43960	14394
452	44152	14327
453	44354	14263
454	44570	14203
455	44774	14139
456	45005	14082
457	45560	14125
458	46918	14412
459	47113	14338
460	47309	14264
461	47513	14192
462	47717	14119
463	47917	14044
464	48122	13971
465	48327	13896
466	48521	13818
467	48710	13738
468	48902	13659
469	49097	13580
470	49303	13503
471	49505	13425
472	49703	13345
473	49972	13283
474	50172	13203
475	50379	13124
476	50739	13083
477	50852	12979
478	50943	12868
479	51030	12757
480	51114	12645
481	51212	12537
482	51301	12427
483	51390	12316
484	51477	12206
485	51566	12095
486	51657	11986
487	51745	11875
488	51836	11766
489	51929	11657
490	52015	11547
491	52112	11439
492	52205	11330
493	52295	11221
494	52384	11111
495	52473	11002
496	52560	10892
497	52647	10783
498	52738	10674
499	52831	10566
500	52916	10456
501	53007	10348
502	53098	10239
503	53184	10130
504	53272	10021
505	53361	9913
506	53442	9803
507	53530	9694
508	53617	9585
509	53709	9478
510	53799	9370
511	53893	9262
512	53986	9155
513	54075	9047
514	54182	8942
515	54289	8837
516	54385	8731
517	54480	8624
518	54728	8541
519	54836	8436
520	54937	8330
521	55027	8222
522	55115	8114
523	55204	8006
524	55294	7899
525	55382	7791
526	55476	7684
527	55564	7576
528	55651	7469
529	55739	7361
530	55835	7255
531	55932	7149
532	56021	7042
533	56106	6934
534	56196	6827
535	56281	6720
536	56367	6612
537	56454	6505
538	56545	6399
539	56637	6293
540	56725	6186
541	56817	6080
542	56925	5975
543	57014	5869
544	57096	5762
545	57188	5655
546	57274	5549
547	57360	5442
548	57455	5337
549	57544	5231
550	57631	5125
551	57719	5019
